,pop_mean,pop_sem,eps_mean,eps_sem,het_mean,het_sem,p_het_1,p_het_0,p_pop0,s_wt_mean,s_wt_sem,s_mt_mean,s_mt_sem,a_wt_mean,a_wt_sem,a_mt_mean,a_mt_sem
0,640.0,0.0,400.0,0.0,0.5,0.0,0.0,0.0,0.0,160.0,0.0,160.0,0.0,160.0,0.0,160.0,0.0
1,644.08,0.58,399.84,0.18,0.5032,0.0006,0.0,0.0,0.0,159.07,0.11,163.18,0.41,159.35,0.18,162.48,0.32
2,648.64,0.79,399.99,0.18,0.5059,0.0009,0.0,0.0,0.0,158.55,0.14,165.84,0.55,158.56,0.2,165.68,0.48
3,652.58,0.95,400.08,0.18,0.5082,0.0011,0.0,0.0,0.0,157.78,0.17,168.76,0.65,158.13,0.22,167.92,0.6
4,657.19,1.1,400.13,0.19,0.5113,0.0013,0.0,0.0,0.0,156.91,0.19,171.95,0.75,157.54,0.24,170.79,0.7
5,660.39,1.24,400.08,0.18,0.5125,0.0015,0.0,0.0,0.0,156.57,0.22,173.94,0.84,156.74,0.25,173.14,0.8
6,664.88,1.36,400.14,0.18,0.5153,0.0016,0.0,0.0,0.0,155.81,0.24,176.83,0.93,156.09,0.27,176.16,0.88
7,670.2,1.5,400.25,0.18,0.5187,0.0017,0.0,0.0,0.0,154.92,0.26,180.41,1.01,155.34,0.29,179.53,0.97
8,673.85,1.6,399.88,0.18,0.5213,0.0018,0.0,0.0,0.0,154.15,0.27,183.13,1.08,154.41,0.3,182.16,1.05
9,677.36,1.72,399.6,0.18,0.5233,0.0019,0.0,0.0,0.0,153.57,0.29,185.48,1.16,153.44,0.32,184.88,1.12
10,682.12,1.83,399.74,0.18,0.5255,0.0021,0.0,0.0,0.0,152.83,0.31,188.6,1.24,152.79,0.34,187.9,1.2
11,686.41,1.95,399.91,0.18,0.5274,0.0021,0.0,0.0,0.0,152.08,0.33,191.41,1.31,152.33,0.35,190.59,1.28
12,690.55,2.05,399.94,0.18,0.5295,0.0022,0.0,0.0,0.0,151.43,0.35,194.22,1.37,151.63,0.37,193.26,1.35
13,694.65,2.14,399.9,0.18,0.5314,0.0023,0.0,0.0,0.0,150.76,0.36,197.02,1.44,150.9,0.38,195.97,1.41
14,700.47,2.23,400.04,0.18,0.5353,0.0024,0.0,0.0,0.0,149.8,0.38,200.78,1.5,150.09,0.4,199.8,1.47
15,705.36,2.36,400.15,0.18,0.5373,0.0025,0.0,0.0,0.0,148.91,0.4,204.05,1.58,149.5,0.41,202.91,1.54
16,709.34,2.43,399.97,0.18,0.5398,0.0026,0.0,0.0006,0.0,148.18,0.41,206.72,1.63,148.66,0.43,205.78,1.61
17,713.32,2.52,399.9,0.18,0.5415,0.0026,0.0,0.0006,0.0,147.59,0.43,209.22,1.69,147.84,0.45,208.67,1.67
18,718.18,2.64,399.57,0.17,0.5441,0.0027,0.0,0.0006,0.0,146.68,0.45,213.02,1.77,146.68,0.45,211.8,1.74
19,722.04,2.72,399.78,0.18,0.5452,0.0028,0.0,0.0006,0.0,146.05,0.46,215.5,1.83,146.31,0.48,214.18,1.8
20,726.23,2.8,399.57,0.17,0.5475,0.0029,0.0,0.001,0.0,145.37,0.47,218.23,1.88,145.31,0.49,217.31,1.86
21,731.28,2.89,399.9,0.17,0.5495,0.0029,0.0,0.0022,0.0,144.57,0.49,221.46,1.94,144.86,0.5,220.38,1.91
22,734.81,2.97,399.62,0.17,0.5514,0.003,0.0,0.003,0.0,143.98,0.5,223.95,1.99,143.91,0.51,222.98,1.96
23,740.07,3.04,400.15,0.18,0.5537,0.003,0.0002,0.0048,0.0,143.21,0.51,226.85,2.03,143.63,0.53,226.37,2.02
24,743.08,3.13,399.61,0.18,0.5552,0.0031,0.0004,0.0058,0.0,142.61,0.52,229.46,2.09,142.52,0.53,228.5,2.07
25,746.56,3.18,399.8,0.17,0.5566,0.0031,0.0004,0.007,0.0,142.08,0.53,231.52,2.13,142.14,0.54,230.82,2.11
26,750.05,3.24,399.54,0.17,0.5585,0.0032,0.0006,0.0084,0.0,141.49,0.54,233.81,2.17,141.22,0.56,233.53,2.15
27,755.04,3.31,399.71,0.17,0.5611,0.0032,0.0006,0.01,0.0,140.59,0.56,237.29,2.22,140.67,0.57,236.49,2.19
28,760.69,3.39,399.86,0.18,0.564,0.0033,0.0006,0.0106,0.0,139.77,0.57,240.96,2.27,139.81,0.58,240.15,2.25
29,764.77,3.46,400.11,0.17,0.5656,0.0033,0.001,0.0116,0.0,139.14,0.58,243.32,2.31,139.42,0.59,242.89,2.29
30,768.98,3.52,399.99,0.17,0.5677,0.0034,0.001,0.0136,0.0,138.32,0.59,246.37,2.36,138.68,0.6,245.62,2.33
31,772.15,3.59,399.73,0.17,0.5691,0.0034,0.001,0.015,0.0,137.79,0.6,248.58,2.4,137.8,0.61,247.98,2.38
32,776.82,3.67,399.94,0.17,0.5709,0.0035,0.0014,0.016,0.0,137.15,0.61,251.47,2.45,137.17,0.63,251.03,2.44
33,780.99,3.74,399.86,0.17,0.5726,0.0035,0.0016,0.0174,0.0,136.28,0.63,254.64,2.5,136.54,0.64,253.53,2.48
34,784.91,3.79,399.8,0.17,0.5746,0.0035,0.002,0.0192,0.0,135.62,0.63,257.41,2.53,135.82,0.65,256.06,2.52
35,788.72,3.85,400.02,0.17,0.5757,0.0036,0.0022,0.0202,0.0,135.13,0.64,259.55,2.58,135.32,0.66,258.72,2.55
36,793.33,3.91,400.13,0.17,0.5777,0.0036,0.003,0.0222,0.0,134.28,0.65,262.84,2.61,134.78,0.67,261.43,2.6
37,797.42,3.97,400.0,0.17,0.5797,0.0037,0.0042,0.0238,0.0,133.65,0.66,265.31,2.65,133.87,0.67,264.58,2.64
38,802.57,4.03,400.24,0.17,0.582,0.0037,0.0048,0.026,0.0,132.84,0.68,268.53,2.69,133.29,0.68,267.91,2.68
39,806.2,4.09,399.82,0.17,0.5841,0.0037,0.0054,0.028,0.0,132.16,0.68,271.2,2.73,132.2,0.69,270.64,2.72
40,808.96,4.14,399.9,0.17,0.585,0.0038,0.006,0.0302,0.0,131.72,0.69,273.23,2.77,131.83,0.7,272.17,2.75
41,813.23,4.21,399.95,0.17,0.5859,0.0038,0.0064,0.0326,0.0,130.95,0.7,275.96,2.82,131.24,0.71,275.08,2.8
42,817.58,4.27,400.18,0.17,0.5876,0.0038,0.0074,0.0342,0.0,130.27,0.71,278.57,2.85,130.79,0.73,277.95,2.84
43,819.72,4.31,399.71,0.17,0.5889,0.0039,0.0088,0.0356,0.0,129.69,0.72,280.68,2.88,130.02,0.73,279.33,2.86
44,824.03,4.38,399.94,0.17,0.5903,0.0039,0.0088,0.0364,0.0,129.24,0.73,282.88,2.92,129.33,0.74,282.58,2.91
45,827.01,4.42,399.86,0.17,0.5914,0.0039,0.0102,0.0378,0.0,128.73,0.74,285.13,2.95,128.76,0.75,284.4,2.94
46,831.06,4.47,399.84,0.17,0.5931,0.004,0.0114,0.039,0.0,127.92,0.75,288.13,2.99,128.18,0.76,286.83,2.97
47,835.09,4.53,399.95,0.17,0.5943,0.004,0.0128,0.0422,0.0,127.33,0.76,290.4,3.03,127.57,0.76,289.79,3.01
48,839.51,4.59,400.01,0.17,0.5959,0.004,0.0144,0.044,0.0,126.67,0.77,293.41,3.06,126.83,0.77,292.59,3.05
49,842.37,4.63,399.72,0.16,0.5969,0.0041,0.0168,0.0462,0.0,126.04,0.77,295.68,3.09,126.13,0.78,294.53,3.08
50,846.71,4.69,399.97,0.17,0.5979,0.0041,0.0184,0.0476,0.0,125.35,0.79,298.59,3.14,125.71,0.79,297.06,3.12
51,849.47,4.73,400.08,0.17,0.5985,0.0041,0.0206,0.0504,0.0,124.98,0.79,300.0,3.16,125.3,0.8,299.2,3.15
52,852.71,4.79,399.85,0.17,0.5998,0.0042,0.022,0.0532,0.0,124.44,0.8,302.25,3.2,124.46,0.81,301.57,3.18
53,855.67,4.83,399.75,0.16,0.6009,0.0042,0.024,0.056,0.0,123.89,0.81,304.33,3.23,123.89,0.81,303.56,3.21
54,859.17,4.87,400.02,0.17,0.6022,0.0042,0.026,0.0582,0.0,123.3,0.81,306.49,3.25,123.66,0.82,305.71,3.24
55,862.96,4.91,399.8,0.16,0.6042,0.0042,0.0282,0.0604,0.0,122.8,0.82,308.95,3.28,122.61,0.83,308.6,3.27
56,867.0,4.95,399.96,0.16,0.6057,0.0043,0.0306,0.0636,0.0,122.05,0.83,311.72,3.3,122.22,0.83,311.0,3.3
57,871.23,5.02,399.79,0.17,0.6069,0.0043,0.0322,0.0656,0.0,121.24,0.84,314.82,3.35,121.4,0.84,313.76,3.34
58,875.28,5.05,399.61,0.17,0.609,0.0043,0.036,0.069,0.0,120.56,0.84,317.53,3.37,120.49,0.85,316.7,3.36
