,pop_mean,pop_sem,eps_mean,eps_sem,het_mean,het_sem,p_het_1,p_het_0,p_pop0,s_wt_mean,s_wt_sem,s_mt_mean,s_mt_sem,a_wt_mean,a_wt_sem,a_mt_mean,a_mt_sem
0,640.0,0.0,400.0,0.0,0.5,0.0,0.0,0.0,0.0,160.0,0.0,160.0,0.0,160.0,0.0,160.0,0.0
1,639.39,0.77,399.92,0.55,0.4992,0.0006,0.0,0.0,0.0,160.05,0.34,159.62,0.35,160.04,0.27,159.68,0.28
2,637.18,1.1,398.15,0.8,0.4998,0.0009,0.0,0.0,0.0,158.89,0.44,159.33,0.46,159.58,0.39,159.37,0.41
3,637.66,1.34,398.03,0.97,0.5003,0.0011,0.0,0.0,0.0,159.21,0.52,159.76,0.55,158.95,0.48,159.74,0.51
4,635.76,1.52,396.32,1.08,0.5008,0.0013,0.0,0.0,0.0,158.18,0.57,159.53,0.63,158.33,0.54,159.72,0.59
5,637.43,1.68,396.63,1.19,0.5017,0.0015,0.0,0.0,0.0,158.4,0.63,160.6,0.7,157.96,0.59,160.46,0.67
6,636.4,1.8,396.04,1.29,0.5012,0.0016,0.0,0.0,0.0,157.73,0.67,160.09,0.75,158.19,0.65,160.39,0.72
7,633.86,1.91,393.94,1.36,0.5017,0.0017,0.0,0.0,0.0,156.74,0.71,160.01,0.81,157.22,0.68,159.89,0.77
8,633.04,1.99,392.83,1.42,0.5022,0.0019,0.0,0.0,0.0,156.34,0.74,160.21,0.86,156.42,0.72,160.07,0.82
9,631.36,2.07,391.24,1.47,0.5022,0.002,0.0,0.0,0.0,155.52,0.77,159.91,0.91,155.68,0.75,160.24,0.88
10,631.92,2.14,391.12,1.51,0.502,0.0021,0.0,0.0,0.0,155.42,0.8,160.76,0.96,155.43,0.77,160.31,0.93
11,630.98,2.19,390.13,1.54,0.5016,0.0022,0.0002,0.0,0.0,154.78,0.81,160.45,1.0,155.06,0.8,160.68,0.98
12,630.85,2.24,389.45,1.56,0.5016,0.0023,0.0002,0.0,0.0,154.46,0.83,160.93,1.04,154.52,0.81,160.94,1.02
13,630.44,2.31,388.44,1.6,0.5017,0.0024,0.0002,0.0002,0.0,153.84,0.85,161.21,1.09,153.93,0.84,161.46,1.07
14,630.56,2.36,387.89,1.63,0.5017,0.0025,0.0002,0.0002,0.0,153.35,0.87,162.17,1.13,153.65,0.85,161.39,1.11
15,630.03,2.4,386.33,1.63,0.5025,0.0026,0.0002,0.0006,0.0,152.54,0.88,162.39,1.17,152.56,0.86,162.54,1.15
16,628.84,2.46,384.42,1.65,0.503,0.0027,0.0002,0.0006,0.0,151.14,0.89,162.89,1.23,151.81,0.88,163.01,1.2
17,626.9,2.5,382.43,1.66,0.5029,0.0028,0.0004,0.001,0.0,150.33,0.91,163.1,1.27,150.6,0.89,162.86,1.24
18,627.24,2.55,382.64,1.69,0.5013,0.0028,0.0004,0.0014,0.0,150.57,0.93,162.95,1.31,150.54,0.91,163.19,1.29
19,626.75,2.6,381.52,1.7,0.5015,0.0029,0.0004,0.0022,0.0,149.54,0.94,163.75,1.34,150.24,0.92,163.22,1.33
20,625.86,2.66,379.9,1.72,0.5017,0.003,0.0006,0.0028,0.0,149.11,0.95,163.82,1.39,148.81,0.93,164.11,1.36
21,625.45,2.72,378.55,1.74,0.5024,0.003,0.0008,0.0034,0.0,147.86,0.96,164.56,1.43,148.39,0.94,164.64,1.4
22,623.22,2.76,376.17,1.74,0.5028,0.0031,0.0012,0.005,0.0,146.6,0.96,164.7,1.46,147.22,0.95,164.7,1.44
23,623.41,2.81,375.34,1.75,0.5028,0.0032,0.0018,0.0062,0.0,146.19,0.97,165.19,1.5,146.46,0.96,165.58,1.48
24,623.84,2.85,375.4,1.76,0.5013,0.0033,0.0022,0.0078,0.0,146.15,0.98,165.61,1.54,146.43,0.97,165.65,1.51
25,624.41,2.9,374.55,1.77,0.5016,0.0033,0.0026,0.0112,0.0,145.55,1.0,166.43,1.58,145.72,0.98,166.72,1.56
26,624.71,2.96,373.53,1.78,0.502,0.0034,0.0034,0.0128,0.0,144.66,1.0,167.35,1.62,145.14,0.99,167.55,1.61
27,623.23,3.0,371.34,1.79,0.5027,0.0034,0.0036,0.0138,0.0,143.44,1.01,167.91,1.66,143.94,1.0,167.93,1.64
28,623.37,3.05,370.45,1.79,0.5025,0.0035,0.0044,0.0152,0.0,142.7,1.01,168.75,1.69,143.44,1.01,168.48,1.68
29,622.93,3.09,369.29,1.8,0.5027,0.0036,0.0052,0.0178,0.0,142.43,1.03,169.22,1.73,142.31,1.01,168.97,1.71
30,622.58,3.11,368.67,1.79,0.5017,0.0036,0.006,0.0198,0.0,142.02,1.02,169.35,1.76,142.02,1.02,169.2,1.74
31,623.32,3.15,367.54,1.78,0.5021,0.0037,0.0068,0.0224,0.0,140.96,1.03,170.62,1.8,141.33,1.02,170.41,1.78
32,623.5,3.18,366.76,1.77,0.5017,0.0037,0.009,0.0244,0.0,140.33,1.03,171.44,1.83,140.85,1.02,170.88,1.81
33,624.63,3.24,365.82,1.76,0.5025,0.0038,0.0106,0.0274,0.0,139.41,1.02,172.9,1.88,140.14,1.02,172.18,1.85
34,624.93,3.27,365.49,1.76,0.5014,0.0038,0.0128,0.03,0.0,139.57,1.03,172.98,1.91,139.45,1.02,172.93,1.89
35,625.8,3.31,365.18,1.77,0.5015,0.0039,0.0142,0.0336,0.0,139.24,1.05,173.95,1.94,139.06,1.03,173.54,1.92
36,625.98,3.33,364.35,1.77,0.5018,0.0039,0.0154,0.0374,0.0,138.35,1.04,174.64,1.96,138.79,1.04,174.19,1.95
37,627.31,3.39,364.27,1.79,0.5016,0.0039,0.0184,0.0408,0.0,137.97,1.06,175.54,2.0,138.62,1.05,175.19,1.99
38,626.24,3.44,362.27,1.79,0.502,0.004,0.0212,0.0446,0.0,136.94,1.06,176.03,2.03,137.34,1.05,175.93,2.03
39,626.81,3.48,361.7,1.78,0.5019,0.004,0.0226,0.048,0.0,136.7,1.06,176.78,2.06,136.64,1.05,176.7,2.06
40,628.82,3.53,362.37,1.79,0.5009,0.0041,0.0248,0.0512,0.0,136.93,1.07,177.85,2.1,136.63,1.06,177.42,2.08
41,629.46,3.58,361.85,1.78,0.5,0.0041,0.027,0.0538,0.0,136.18,1.07,178.61,2.14,136.46,1.06,178.21,2.12
42,631.6,3.63,362.08,1.79,0.5001,0.0042,0.0292,0.0574,0.0004,136.11,1.08,179.98,2.18,136.13,1.07,179.38,2.16
43,633.62,3.69,362.14,1.8,0.5006,0.0042,0.0314,0.0618,0.0004,135.7,1.08,181.18,2.21,135.95,1.08,180.78,2.19
44,634.85,3.73,361.87,1.81,0.5014,0.0042,0.0326,0.0658,0.0004,135.48,1.1,182.37,2.23,135.4,1.08,181.6,2.22
45,636.44,3.78,361.74,1.83,0.5016,0.0043,0.0348,0.0696,0.0004,135.1,1.11,183.15,2.27,135.07,1.1,183.11,2.26
46,637.58,3.83,361.46,1.84,0.5016,0.0043,0.0376,0.075,0.0004,134.59,1.11,184.31,2.3,134.82,1.1,183.86,2.28
47,637.84,3.86,360.08,1.83,0.5027,0.0044,0.04,0.0788,0.0004,133.47,1.12,185.29,2.33,134.03,1.11,185.05,2.32
48,639.25,3.94,359.59,1.84,0.5031,0.0044,0.041,0.0838,0.0004,133.23,1.12,186.73,2.37,133.14,1.11,186.15,2.35
49,639.87,3.96,359.24,1.84,0.503,0.0044,0.0428,0.088,0.0004,132.7,1.13,187.04,2.39,133.0,1.11,187.14,2.38
50,641.05,4.01,358.86,1.84,0.5026,0.0045,0.0458,0.0916,0.0004,132.47,1.13,188.24,2.42,132.32,1.12,188.01,2.42
51,641.9,4.05,358.57,1.85,0.5019,0.0045,0.0488,0.0968,0.0006,132.13,1.14,188.66,2.45,132.0,1.13,189.12,2.44
52,643.23,4.09,358.22,1.85,0.5019,0.0045,0.0508,0.0994,0.0008,131.56,1.14,190.26,2.49,131.66,1.13,189.75,2.47
53,644.54,4.15,358.31,1.85,0.5011,0.0046,0.0522,0.1028,0.0008,131.47,1.15,190.94,2.53,131.44,1.14,190.7,2.51
54,646.48,4.22,358.03,1.87,0.5013,0.0046,0.0552,0.1068,0.001,131.09,1.16,192.67,2.57,130.79,1.15,191.93,2.55
55,648.41,4.26,358.42,1.87,0.5009,0.0046,0.058,0.1104,0.0012,130.75,1.16,193.49,2.6,131.0,1.15,193.17,2.59
56,649.48,4.32,357.91,1.87,0.5011,0.0047,0.0604,0.1136,0.0012,130.39,1.17,194.78,2.63,130.32,1.16,193.99,2.61
57,651.26,4.36,358.06,1.87,0.5006,0.0047,0.0626,0.117,0.0012,130.14,1.17,195.65,2.67,130.19,1.16,195.28,2.65
58,651.13,4.38,357.06,1.87,0.5008,0.0047,0.0646,0.1216,0.0012,129.58,1.17,195.66,2.67,129.47,1.16,196.42,2.68
59,651.25,4.43,356.22,1.86,0.5003,0.0047,0.0668,0.1248,0.0016,128.76,1.17,197.11,2.71,129.12,1.16,196.27,2.69
60,651.06,4.46,355.03,1.86,0.5006,0.0048,0.07,0.1288,0.0018,128.17,1.17,197.3,2.72,128.17,1.16,197.42,2.72
61,652.03,4.52,354.67,1.86,0.5002,0.0048,0.0732,0.132,0.0018,127.75,1.17,198.27,2.76,127.8,1.16,198.21,2.75
62,653.82,4.57,354.8,1.87,0.4995,0.0048,0.0764,0.1344,0.0022,127.81,1.17,199.79,2.8,127.32,1.17,198.9,2.78
63,655.37,4.63,354.32,1.87,0.4995,0.0049,0.0784,0.1376,0.0022,126.96,1.18,200.86,2.83,127.01,1.17,200.54,2.81
64,656.84,4.68,354.14,1.88,0.499,0.0049,0.0812,0.142,0.0024,126.62,1.19,201.81,2.86,126.63,1.18,201.78,2.85
65,657.33,4.71,353.56,1.87,0.4983,0.0049,0.0828,0.1458,0.0026,125.99,1.19,202.55,2.88,126.31,1.18,202.47,2.87
66,658.66,4.75,353.4,1.88,0.4984,0.005,0.0862,0.151,0.0026,125.88,1.2,203.86,2.91,125.77,1.19,203.16,2.9
67,661.07,4.8,353.72,1.89,0.4981,0.005,0.0892,0.155,0.0026,125.59,1.2,205.1,2.94,125.68,1.19,204.7,2.93
68,662.67,4.85,353.4,1.88,0.4985,0.005,0.0922,0.159,0.003,125.13,1.2,206.56,2.98,125.18,1.19,205.79,2.96
69,664.33,4.9,352.92,1.86,0.4981,0.0051,0.0952,0.1636,0.003,124.38,1.19,207.69,3.01,124.73,1.19,207.53,3.0
70,666.33,4.93,353.59,1.86,0.4972,0.0051,0.0986,0.1678,0.003,124.69,1.2,208.92,3.04,124.65,1.19,208.06,3.02
71,667.33,4.97,352.9,1.87,0.4978,0.0051,0.1006,0.1718,0.0032,124.03,1.21,209.68,3.06,124.06,1.2,209.56,3.04
72,669.8,5.02,353.24,1.88,0.4982,0.0051,0.1036,0.1754,0.0034,123.85,1.22,211.19,3.09,123.88,1.2,210.88,3.07
73,670.92,5.08,353.02,1.89,0.4973,0.0052,0.106,0.179,0.0036,123.81,1.22,212.09,3.12,123.25,1.2,211.78,3.1
74,671.95,5.11,352.44,1.88,0.4976,0.0052,0.109,0.1826,0.0036,122.94,1.22,213.06,3.14,123.0,1.21,212.96,3.13
75,673.23,5.17,351.6,1.87,0.498,0.0052,0.1106,0.1874,0.0036,122.09,1.21,214.81,3.18,122.29,1.21,214.05,3.16
76,675.73,5.22,351.66,1.88,0.4983,0.0052,0.113,0.1906,0.0038,121.85,1.23,216.17,3.21,121.8,1.21,215.91,3.2
77,677.73,5.28,351.78,1.88,0.4978,0.0053,0.1168,0.1932,0.0038,121.39,1.23,217.49,3.25,121.74,1.22,217.11,3.24
78,678.79,5.3,351.61,1.87,0.4976,0.0053,0.121,0.197,0.0038,121.22,1.23,218.25,3.27,121.33,1.22,217.99,3.25
79,680.15,5.34,351.22,1.88,0.4981,0.0053,0.1232,0.2002,0.0042,120.79,1.23,219.81,3.3,120.78,1.22,218.77,3.28
80,682.73,5.4,351.71,1.89,0.4977,0.0053,0.1258,0.2024,0.0042,120.79,1.24,220.67,3.33,120.59,1.23,220.68,3.32
81,684.32,5.46,350.98,1.88,0.4982,0.0053,0.1288,0.2082,0.0044,119.9,1.24,222.48,3.36,119.96,1.23,221.97,3.35
82,685.53,5.47,351.05,1.88,0.4984,0.0054,0.1324,0.2118,0.0044,119.54,1.24,223.16,3.37,120.01,1.23,222.81,3.36
83,688.43,5.5,351.69,1.89,0.4987,0.0054,0.1356,0.2142,0.0048,119.73,1.25,225.03,3.4,119.71,1.24,223.96,3.39
